customerID	gender	SeniorCitizen	Partner	Dependents	tenure	PhoneService	MultipleLines	InternetService	OnlineSecurity	OnlineBackup	DeviceProtection	TechSupport	StreamingTV	StreamingMovies	Contract	PaperlessBilling	PaymentMethod	MonthlyCharges	TotalCharges	Churn	Tenure Group	Charges Tier
7665-TOALD	Female	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 69.6	₹ 69.6	Yes	0-1 Year	High (>$65)
2777-PHDEI	Female	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	Yes	No	Month-to-month	No	Electronic check	₹ 78.05	₹ 78.05	Yes	0-1 Year	High (>$65)
6416-TVAIH	Male	No	Yes	Yes	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 68.5	₹ 68.5	Yes	0-1 Year	High (>$65)
9019-QVLZD	Female	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	Yes	No	Month-to-month	No	Electronic check	₹ 79.55	₹ 79.55	Yes	0-1 Year	High (>$65)
4603-JANFB	Male	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 69.85	₹ 69.85	Yes	0-1 Year	High (>$65)
7465-ZZRVX	Male	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 70.35	₹ 70.35	No	0-1 Year	High (>$65)
4702-IOQDC	Female	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 70.1	₹ 70.1	Yes	0-1 Year	High (>$65)
3428-XZMAZ	Male	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 69.35	₹ 69.35	Yes	0-1 Year	High (>$65)
0318-QUUOB	Male	No	Yes	No	1	Yes	No	Fiber optic	No	No	No	No	Yes	No	Month-to-month	Yes	Electronic check	₹ 80.55	₹ 80.55	Yes	0-1 Year	High (>$65)
1853-UDXBW	Male	No	Yes	Yes	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 70	₹ 70	Yes	0-1 Year	High (>$65)
8740-CRYFY	Male	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	Yes	No	Month-to-month	Yes	Electronic check	₹ 78.95	₹ 78.95	Yes	0-1 Year	High (>$65)
5134-IKDAY	Female	No	Yes	Yes	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 69.8	₹ 69.8	Yes	0-1 Year	High (>$65)
6653-CBBOM	Female	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 70.3	₹ 70.3	Yes	0-1 Year	High (>$65)
4759-TRPLW	Male	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	No	Electronic check	₹ 70.4	₹ 70.4	Yes	0-1 Year	High (>$65)
8062-YBDOE	Male	Yes	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 69.65	₹ 69.65	Yes	0-1 Year	High (>$65)
8058-INTPH	Female	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	Yes	No	Month-to-month	Yes	Electronic check	₹ 79.65	₹ 79.65	Yes	0-1 Year	High (>$65)
5376-DEQCP	Female	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 70.6	₹ 70.6	Yes	0-1 Year	High (>$65)
2506-TNFCO	Female	Yes	Yes	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 69.55	₹ 69.55	Yes	0-1 Year	High (>$65)
5550-VFRLC	Female	Yes	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 69.85	₹ 69.85	Yes	0-1 Year	High (>$65)
3244-DCJWY	Female	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 70.25	₹ 70.25	Yes	0-1 Year	High (>$65)
4871-JTKJF	Female	Yes	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 69.65	₹ 69.65	Yes	0-1 Year	High (>$65)
3422-LYEPQ	Male	No	Yes	Yes	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 71	₹ 71	Yes	0-1 Year	High (>$65)
1363-TXLSL	Male	Yes	Yes	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 70.3	₹ 70.3	Yes	0-1 Year	High (>$65)
4550-EVXNY	Female	No	No	Yes	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 69.65	₹ 69.65	Yes	0-1 Year	High (>$65)
9605-WGJVW	Female	Yes	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 70.2	₹ 70.2	No	0-1 Year	High (>$65)
7153-OANIO	Male	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	No	Electronic check	₹ 69.95	₹ 69.95	Yes	0-1 Year	High (>$65)
0328-GRPMV	Female	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 70.1	₹ 70.1	Yes	0-1 Year	High (>$65)
0488-GSLFR	Female	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 69.5	₹ 69.5	Yes	0-1 Year	High (>$65)
9728-FTTVZ	Female	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 69.2	₹ 69.2	Yes	0-1 Year	High (>$65)
7254-IQWOZ	Male	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 69.65	₹ 69.65	Yes	0-1 Year	High (>$65)
2856-HYAPG	Female	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	No	Electronic check	₹ 68.65	₹ 68.65	Yes	0-1 Year	High (>$65)
1031-IIDEO	Female	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 70.85	₹ 70.85	Yes	0-1 Year	High (>$65)
1447-GIQMR	Male	No	Yes	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 69.15	₹ 69.15	Yes	0-1 Year	High (>$65)
7660-HDPJV	Female	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 69.2	₹ 69.2	Yes	0-1 Year	High (>$65)
2446-PLQVO	Male	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 70.3	₹ 70.3	Yes	0-1 Year	High (>$65)
6457-GIRWB	Male	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 69.35	₹ 69.35	Yes	0-1 Year	High (>$65)
6502-MJQAE	Male	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 69.6	₹ 69.6	Yes	0-1 Year	High (>$65)
1285-OKIPP	Male	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	Yes	Month-to-month	No	Electronic check	₹ 79.9	₹ 79.9	Yes	0-1 Year	High (>$65)
0970-ETWGE	Male	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	Yes	Yes	Month-to-month	Yes	Electronic check	₹ 89.55	₹ 89.55	Yes	0-1 Year	High (>$65)
1448-PWKYE	Male	No	Yes	Yes	1	Yes	No	Fiber optic	No	No	No	No	No	Yes	Month-to-month	No	Electronic check	₹ 80	₹ 80	Yes	0-1 Year	High (>$65)
3027-ZTDHO	Male	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	Yes	Yes	Month-to-month	Yes	Electronic check	₹ 89.9	₹ 89.9	Yes	0-1 Year	High (>$65)
7294-TMAOP	Female	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	Yes	Yes	Month-to-month	No	Electronic check	₹ 90.55	₹ 90.55	Yes	0-1 Year	High (>$65)
2018-QKYGT	Male	No	Yes	Yes	1	Yes	No	Fiber optic	No	No	No	No	No	Yes	Month-to-month	Yes	Electronic check	₹ 81.05	₹ 81.05	No	0-1 Year	High (>$65)
3988-RQIXO	Female	Yes	No	No	1	Yes	No	Fiber optic	No	No	No	No	Yes	Yes	Month-to-month	Yes	Electronic check	₹ 91.3	₹ 91.3	Yes	0-1 Year	High (>$65)
3722-WPXTK	Male	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	Yes	Yes	Month-to-month	Yes	Electronic check	₹ 88.35	₹ 88.35	Yes	0-1 Year	High (>$65)
2725-KXXWT	Male	No	Yes	No	1	Yes	No	Fiber optic	No	No	No	No	Yes	Yes	Month-to-month	Yes	Electronic check	₹ 90.75	₹ 90.75	Yes	0-1 Year	High (>$65)
2004-OCQXK	Female	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	Yes	Month-to-month	Yes	Electronic check	₹ 81.95	₹ 81.95	Yes	0-1 Year	High (>$65)
0495-RVCBF	Female	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	Yes	Month-to-month	Yes	Electronic check	₹ 79.7	₹ 79.7	Yes	0-1 Year	High (>$65)
7274-RTAPZ	Male	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	Yes	Yes	Month-to-month	Yes	Electronic check	₹ 90.55	₹ 90.55	Yes	0-1 Year	High (>$65)
7594-RQHXR	Female	No	No	Yes	1	Yes	No	Fiber optic	No	No	No	No	No	Yes	Month-to-month	Yes	Electronic check	₹ 79.6	₹ 79.6	Yes	0-1 Year	High (>$65)
8945-GRKHX	Female	No	No	Yes	1	Yes	No	Fiber optic	No	No	No	No	No	Yes	Month-to-month	No	Electronic check	₹ 78.65	₹ 78.65	Yes	0-1 Year	High (>$65)
5797-APWZC	Female	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	Yes	Yes	Month-to-month	No	Electronic check	₹ 90.6	₹ 90.6	Yes	0-1 Year	High (>$65)
1455-ESIQH	Male	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	Yes	Yes	Month-to-month	Yes	Electronic check	₹ 89.1	₹ 89.1	Yes	0-1 Year	High (>$65)
9725-SCPZG	Male	No	No	Yes	1	Yes	No	Fiber optic	No	No	No	No	Yes	Yes	Month-to-month	Yes	Electronic check	₹ 90.85	₹ 90.85	Yes	0-1 Year	High (>$65)
7577-SWIFR	Male	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	Yes	Yes	Month-to-month	Yes	Electronic check	₹ 89.25	₹ 89.25	No	0-1 Year	High (>$65)
1941-HOSAM	Male	No	Yes	Yes	1	Yes	No	Fiber optic	No	No	No	No	Yes	Yes	Month-to-month	Yes	Electronic check	₹ 90.1	₹ 90.1	No	0-1 Year	High (>$65)
4273-MBHYA	Female	No	No	Yes	1	Yes	No	Fiber optic	No	No	No	No	Yes	Yes	Month-to-month	Yes	Electronic check	₹ 89.35	₹ 89.35	No	0-1 Year	High (>$65)
4614-NUVZD	Female	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	Yes	Month-to-month	Yes	Electronic check	₹ 81.1	₹ 81.1	Yes	0-1 Year	High (>$65)
5393-RXQSZ	Male	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	Yes	Month-to-month	No	Electronic check	₹ 79.6	₹ 79.6	Yes	0-1 Year	High (>$65)
1415-YFWLT	Female	Yes	No	No	1	Yes	No	Fiber optic	No	No	No	No	Yes	Yes	Month-to-month	Yes	Electronic check	₹ 89.3	₹ 89.3	Yes	0-1 Year	High (>$65)
2868-MZAGQ	Male	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	Yes	Month-to-month	Yes	Electronic check	₹ 79.25	₹ 79.25	Yes	0-1 Year	High (>$65)
2867-UIMSS	Male	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	Yes	Month-to-month	No	Electronic check	₹ 80.5	₹ 80.5	Yes	0-1 Year	High (>$65)
6457-USBER	Male	No	No	No	1	Yes	No	Fiber optic	No	No	No	No	No	Yes	Month-to-month	Yes	Electronic check	₹ 80.8	₹ 80.8	Yes	0-1 Year	High (>$65)
0021-IKXGC	Female	Yes	No	No	1	Yes	Yes	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 72.1	₹ 72.1	No	0-1 Year	High (>$65)
1452-VOQCH	Male	No	No	No	1	Yes	Yes	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 75.1	₹ 75.1	No	0-1 Year	High (>$65)
8372-JUXUI	Male	No	No	Yes	1	Yes	Yes	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 74.35	₹ 74.35	Yes	0-1 Year	High (>$65)
9282-IZGQK	Female	No	No	No	1	Yes	Yes	Fiber optic	No	No	No	No	No	Yes	Month-to-month	Yes	Electronic check	₹ 85	₹ 85	Yes	0-1 Year	High (>$65)
5192-EBGOV	Female	Yes	No	No	1	Yes	Yes	Fiber optic	No	No	No	No	Yes	No	Month-to-month	Yes	Electronic check	₹ 85.7	₹ 85.7	Yes	0-1 Year	High (>$65)
6513-EECDB	Male	Yes	Yes	No	1	Yes	Yes	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 73.55	₹ 73.55	Yes	0-1 Year	High (>$65)
8603-IJWDN	Male	No	No	No	1	Yes	Yes	Fiber optic	No	No	No	No	No	Yes	Month-to-month	Yes	Electronic check	₹ 86.6	₹ 86.6	Yes	0-1 Year	High (>$65)
6358-LYNGM	Male	No	No	No	1	Yes	Yes	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 74.9	₹ 74.9	Yes	0-1 Year	High (>$65)
6960-HVYXR	Female	No	No	No	1	Yes	Yes	Fiber optic	No	No	No	No	No	No	Month-to-month	No	Electronic check	₹ 76	₹ 76	Yes	0-1 Year	High (>$65)
5240-IJOQT	Male	Yes	No	No	1	Yes	Yes	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 74.7	₹ 74.7	Yes	0-1 Year	High (>$65)
1157-BQCUW	Male	No	No	No	1	Yes	Yes	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 74.95	₹ 74.95	Yes	0-1 Year	High (>$65)
5834-ASPWA	Male	No	No	No	1	Yes	Yes	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 75.45	₹ 75.45	Yes	0-1 Year	High (>$65)
9497-QCMMS	Male	Yes	No	No	1	Yes	Yes	Fiber optic	No	No	No	No	Yes	Yes	Month-to-month	Yes	Electronic check	₹ 93.55	₹ 93.55	Yes	0-1 Year	High (>$65)
8775-ERLNB	Male	Yes	Yes	No	1	Yes	Yes	Fiber optic	No	No	No	No	No	No	Month-to-month	No	Electronic check	₹ 74.3	₹ 74.3	No	0-1 Year	High (>$65)
9787-XVQIU	Male	No	No	No	1	Yes	Yes	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 75.3	₹ 75.3	Yes	0-1 Year	High (>$65)
7180-PISOG	Male	No	Yes	Yes	1	Yes	Yes	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 74.5	₹ 74.5	Yes	0-1 Year	High (>$65)
2609-IAICY	Female	No	No	No	1	Yes	Yes	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 77.15	₹ 77.15	Yes	0-1 Year	High (>$65)
4910-GMJOT	Female	No	No	No	1	Yes	Yes	Fiber optic	No	No	No	No	Yes	Yes	Month-to-month	Yes	Electronic check	₹ 94.6	₹ 94.6	Yes	0-1 Year	High (>$65)
4826-XTSOH	Male	Yes	Yes	No	1	Yes	Yes	Fiber optic	No	No	No	No	Yes	No	Month-to-month	Yes	Electronic check	₹ 86.05	₹ 86.05	Yes	0-1 Year	High (>$65)
4102-OQUPX	Male	Yes	Yes	No	1	Yes	Yes	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 74.4	₹ 74.4	Yes	0-1 Year	High (>$65)
7120-RFMVS	Male	No	No	No	1	Yes	Yes	Fiber optic	No	No	No	No	Yes	No	Month-to-month	No	Electronic check	₹ 84.5	₹ 84.5	Yes	0-1 Year	High (>$65)
8149-RSOUN	Female	No	No	No	1	Yes	Yes	Fiber optic	No	No	No	No	Yes	Yes	Month-to-month	Yes	Electronic check	₹ 93.85	₹ 93.85	Yes	0-1 Year	High (>$65)
5178-LMXOP	Male	Yes	Yes	No	1	Yes	Yes	Fiber optic	No	No	No	No	Yes	Yes	Month-to-month	Yes	Electronic check	₹ 95.1	₹ 95.1	Yes	0-1 Year	High (>$65)
4988-IQIGL	Male	Yes	No	No	1	Yes	Yes	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 75.35	₹ 75.35	Yes	0-1 Year	High (>$65)
8816-VXNZD	Female	No	No	No	1	Yes	Yes	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 75.1	₹ 75.1	Yes	0-1 Year	High (>$65)
1833-VGRUM	Female	Yes	No	No	1	Yes	Yes	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 74.2	₹ 74.2	Yes	0-1 Year	High (>$65)
1069-XAIEM	Female	Yes	No	No	1	Yes	Yes	Fiber optic	No	No	No	No	No	Yes	Month-to-month	Yes	Electronic check	₹ 85.05	₹ 85.05	Yes	0-1 Year	High (>$65)
9300-AGZNL	Male	Yes	No	No	1	Yes	Yes	Fiber optic	No	No	No	No	Yes	Yes	Month-to-month	Yes	Electronic check	₹ 94	₹ 94	Yes	0-1 Year	High (>$65)
4912-PIGUY	Female	No	No	No	1	Yes	Yes	Fiber optic	No	No	No	No	Yes	No	Month-to-month	Yes	Electronic check	₹ 84.6	₹ 84.6	No	0-1 Year	High (>$65)
8473-VUVJN	Male	Yes	No	No	1	Yes	Yes	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 73.65	₹ 73.65	Yes	0-1 Year	High (>$65)
6521-YYTYI	Male	No	No	Yes	1	Yes	Yes	Fiber optic	No	No	No	No	Yes	Yes	Month-to-month	Yes	Electronic check	₹ 93.3	₹ 93.3	Yes	0-1 Year	High (>$65)
3551-HUAZH	Male	Yes	No	No	1	Yes	Yes	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 74.4	₹ 74.4	Yes	0-1 Year	High (>$65)
9248-OJYKK	Male	Yes	No	No	1	Yes	Yes	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 76.45	₹ 76.45	Yes	0-1 Year	High (>$65)
4415-IJZTP	Female	No	No	No	1	Yes	Yes	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 74.5	₹ 74.5	Yes	0-1 Year	High (>$65)
0295-PPHDO	Male	No	No	No	1	Yes	Yes	Fiber optic	No	No	No	No	Yes	Yes	Month-to-month	Yes	Electronic check	₹ 95.45	₹ 95.45	Yes	0-1 Year	High (>$65)
0723-DRCLG	Female	Yes	Yes	No	1	Yes	Yes	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 74.45	₹ 74.45	Yes	0-1 Year	High (>$65)
6894-LFHLY	Male	Yes	No	No	1	Yes	Yes	Fiber optic	No	No	No	No	No	No	Month-to-month	Yes	Electronic check	₹ 75.75	₹ 75.75	Yes	0-1 Year	High (>$65)
